image,mode,gt,size,anchor,x,y,stride,inside_gt,inside_fixed,before_conflict,after_conflict,iou,rank_ciou,class_score,alignment,target_weight
images/train/0000084_01436_d_0000004.jpg,adaptive,16,small,10838,616.0,264.0,16.0,1,1,1,1,0.7728213667869568,0.76557457447052,0.17707397043704987,0.08472320437431335,0.18969012796878815
images/train/0000084_01436_d_0000004.jpg,adaptive,16,small,10888,616.0,280.0,16.0,1,1,1,1,0.8859431147575378,0.8854679465293884,0.47578203678131104,0.33246129751205444,0.7443607449531555
images/train/0000084_01436_d_0000004.jpg,adaptive,16,small,10938,616.0,296.0,16.0,1,1,1,1,0.8374924659729004,0.8369326591491699,0.3603936433792114,0.20631541311740875,0.46192771196365356
images/train/0000084_01436_d_0000004.jpg,adaptive,17,small,2977,620.0,236.0,8.0,0,0,1,1,0.3179152309894562,0.233585923910141,0.008566709235310555,1.5034432180982549e-05,6.862526061013341e-05
images/train/0000084_01436_d_0000004.jpg,adaptive,17,small,2978,628.0,236.0,8.0,0,0,1,1,0.31284183263778687,0.22182360291481018,0.0011353277368471026,4.014275418739999e-06,1.8323316908208653e-05
images/train/0000084_01436_d_0000004.jpg,adaptive,17,small,3076,612.0,244.0,8.0,0,0,1,1,0.5422003865242004,0.525581955909729,0.024752894416451454,0.0033163141924887896,0.015137446112930775
images/train/0000084_01436_d_0000004.jpg,adaptive,17,small,3077,620.0,244.0,8.0,1,1,1,1,0.7390882968902588,0.7356454730033875,0.25168576836586,0.07951347529888153,0.3629423677921295
images/train/0000084_01436_d_0000004.jpg,adaptive,17,small,3078,628.0,244.0,8.0,1,1,1,1,0.5475079417228699,0.5370630621910095,0.3142656683921814,0.013452412560582161,0.061404064297676086
images/train/0000084_01436_d_0000004.jpg,adaptive,17,small,3176,612.0,252.0,8.0,0,0,1,1,0.7189842462539673,0.7161176204681396,0.057314325124025345,0.03228774666786194,0.14737868309020996
images/train/0000084_01436_d_0000004.jpg,adaptive,17,small,3177,620.0,252.0,8.0,1,1,1,1,0.840582013130188,0.8398193120956421,0.2770286798477173,0.18466198444366455,0.8428968191146851
images/train/0000084_01436_d_0000004.jpg,adaptive,17,small,3178,628.0,252.0,8.0,1,1,1,1,0.7519731521606445,0.7498580813407898,0.3623277544975281,0.10701022297143936,0.48845237493515015
images/train/0000084_01436_d_0000004.jpg,adaptive,17,small,3276,612.0,260.0,8.0,0,0,1,1,0.3558351993560791,0.3050574064254761,0.09112720936536789,0.0002432839828543365,0.0011104792356491089
images/train/0000084_01436_d_0000004.jpg,adaptive,17,small,3277,620.0,260.0,8.0,1,1,1,1,0.8430343866348267,0.8428968787193298,0.22399477660655975,0.16973274946212769,0.7747518420219421
images/train/0000084_01436_d_0000004.jpg,adaptive,17,small,3278,628.0,260.0,8.0,1,1,1,1,0.7320655584335327,0.7289749979972839,0.2545643448829651,0.07571372389793396,0.3455982804298401
images/train/0000084_01436_d_0000004.jpg,adaptive,17,small,3378,628.0,268.0,8.0,1,1,1,1,0.6756177544593811,0.6700489521026611,0.02355859987437725,0.013890374451875687,0.0634031593799591
images/train/0000084_01436_d_0000004.jpg,adaptive,17,small,10788,616.0,248.0,16.0,1,1,1,1,0.7923517227172852,0.7908331155776978,0.19428211450576782,0.10782649368047714,0.4921782612800598
images/train/0000084_01436_d_0000004.jpg,adaptive,18,small,2782,660.0,220.0,8.0,0,0,1,1,0.4458129405975342,0.4097522497177124,0.04048174247145653,0.0009522647014819086,0.0075489128939807415
images/train/0000084_01436_d_0000004.jpg,adaptive,18,small,2783,668.0,220.0,8.0,0,0,1,1,0.3539400100708008,0.30117785930633545,0.028769657015800476,0.000126591810840182,0.0010035346494987607
images/train/0000084_01436_d_0000004.jpg,adaptive,18,small,2882,660.0,228.0,8.0,1,1,1,1,0.6790331602096558,0.6755213737487793,0.19416412711143494,0.04187155142426491,0.33192944526672363
images/train/0000084_01436_d_0000004.jpg,adaptive,18,small,2883,668.0,228.0,8.0,1,1,1,1,0.6170229315757751,0.6087367534637451,0.1785379946231842,0.021500198170542717,0.17043909430503845
images/train/0000084_01436_d_0000004.jpg,adaptive,18,small,2982,660.0,236.0,8.0,1,1,1,1,0.7508282661437988,0.7496272325515747,0.26386532187461853,0.0911513939499855,0.7225868701934814
