image,gt,fixed_count,adaptive_count,delta_count,fixed_weight,adaptive_weight,delta_weight
images/train/0000084_01436_d_0000004.jpg,50,4,11,7,1.300974726676941,2.1367454528808594,0.8357707262039185
images/train/0000112_01120_d_0000074.jpg,2,3,6,3,0.7634421586990356,1.3488869667053223,0.5854448080062866
images/train/0000112_01120_d_0000074.jpg,3,4,10,6,1.8651365041732788,3.4415953159332275,1.5764588117599487
images/train/0000112_01120_d_0000074.jpg,4,2,6,4,0.776180624961853,1.8509637117385864,1.0747830867767334
images/train/0000112_01120_d_0000074.jpg,5,1,4,3,0.6592497825622559,0.6809709668159485,0.021721184253692627
images/train/0000112_01120_d_0000074.jpg,6,1,5,4,4.368597308282706e-24,0.7098090648651123,0.7098090648651123
images/train/0000112_01120_d_0000074.jpg,7,3,5,2,0.6788186430931091,0.679643988609314,0.000825345516204834
images/train/0000112_01120_d_0000074.jpg,8,4,6,2,0.7741853594779968,0.7741930484771729,7.68899917602539e-06
images/train/0000112_01120_d_0000074.jpg,9,10,13,3,3.31249737739563,3.777099847793579,0.4646024703979492
images/train/0000112_01120_d_0000074.jpg,10,8,12,4,2.4893991947174072,2.5279109477996826,0.03851175308227539
images/train/0000112_01120_d_0000074.jpg,11,2,4,2,0.9360939860343933,1.1382153034210205,0.2021213173866272
images/train/0000112_01120_d_0000074.jpg,12,6,13,7,3.462362051010132,4.933211326599121,1.4708492755889893
images/train/0000112_01120_d_0000074.jpg,13,5,13,8,4.064896106719971,4.707417964935303,0.642521858215332
images/train/0000112_01120_d_0000074.jpg,14,10,13,3,4.144291877746582,4.3762712478637695,0.2319793701171875
images/train/0000112_01120_d_0000074.jpg,15,1,5,4,0.4868362247943878,0.6532204151153564,0.16638419032096863
images/train/0000112_01120_d_0000074.jpg,16,4,7,3,2.1759567260742188,2.368694543838501,0.19273781776428223
images/train/0000112_01120_d_0000074.jpg,17,3,4,1,0.6691248416900635,1.0260429382324219,0.3569180965423584
images/train/0000112_01120_d_0000074.jpg,18,4,5,1,2.0373895168304443,2.2434308528900146,0.2060413360595703
images/train/0000112_01120_d_0000074.jpg,19,0,3,3,0.0,0.9708970785140991,0.9708970785140991
images/train/0000112_01120_d_0000074.jpg,20,0,3,3,0.0,0.5617533326148987,0.5617533326148987
images/train/0000112_01120_d_0000074.jpg,21,3,8,5,0.9156417846679688,1.030547857284546,0.11490607261657715
