epoch,branch,area_bin,stage,gt_observations,mean,p50,p90,zero_fraction,batches
22,topk10_topk210,medium,before_conflict,59463,9.999949548458705,10,10,0.0,1618
22,topk10_topk210,medium,after_conflict,59463,9.879185375779898,10,10,0.0001345374434522308,1618
22,topk10_topk210,large,raw,2676,315.4207772795217,261,490,0.0,1618
22,topk10_topk210,large,expanded,2676,315.4207772795217,261,490,0.0,1618
22,topk10_topk210,large,before_conflict,2676,10.0,10,10,0.0,1618
22,topk10_topk210,large,after_conflict,2676,9.96001494768311,10,10,0.0003736920777279522,1618
23,topk10_topk210,small,raw,487742,4.060958457545177,2,11,0.1732104268240176,1618
23,topk10_topk210,small,expanded,487742,5.831980842330577,5,11,0.0,1618
23,topk10_topk210,small,before_conflict,487742,4.29638415391744,3,10,0.025109586625716055,1618
23,topk10_topk210,small,after_conflict,487742,3.6996936905167077,3,10,0.09034284519274534,1618
23,topk10_topk210,medium,raw,59736,50.681799919646444,38,99,0.0,1618
23,topk10_topk210,medium,expanded,59736,50.681799919646444,38,99,0.0,1618
23,topk10_topk210,medium,before_conflict,59736,9.999832596759074,10,10,0.0,1618
23,topk10_topk210,medium,after_conflict,59736,9.889346457747422,10,10,0.00021762421320476764,1618
23,topk10_topk210,large,raw,2592,327.13194444444446,261,507,0.0,1618
23,topk10_topk210,large,expanded,2592,327.13194444444446,261,507,0.0,1618
23,topk10_topk210,large,before_conflict,2592,10.0,10,10,0.0,1618
23,topk10_topk210,large,after_conflict,2592,9.94945987654321,10,10,0.00038580246913580245,1618
24,topk10_topk210,small,raw,477455,4.1278738310416685,2,11,0.16927878019918108,1618
24,topk10_topk210,small,expanded,477455,5.873588086835409,5,11,0.0,1618
24,topk10_topk210,small,before_conflict,477455,4.347783560754417,3,10,0.0242075169387691,1618
24,topk10_topk210,small,after_conflict,477455,3.7532856499565406,3,10,0.08783864447958446,1618
24,topk10_topk210,medium,raw,59764,50.734823639649285,38,98,0.0,1618
24,topk10_topk210,medium,expanded,59764,50.735108091827854,38,98,0.0,1618
24,topk10_topk210,medium,before_conflict,59764,9.999732280302524,10,10,0.0,1618
24,topk10_topk210,medium,after_conflict,59764,9.892560738906365,10,10,0.0002509872163844455,1618
24,topk10_topk210,large,raw,2692,325.2221396731055,268,508,0.0,1618
24,topk10_topk210,large,expanded,2692,325.2221396731055,268,508,0.0,1618
24,topk10_topk210,large,before_conflict,2692,10.0,10,10,0.0,1618
24,topk10_topk210,large,after_conflict,2692,9.943536404160476,10,10,0.0003714710252600297,1618
25,topk10_topk210,small,raw,475149,4.0888079318277,2,11,0.17110001283807816,1618
25,topk10_topk210,small,expanded,475149,5.839420897444802,5,11,0.0,1618
25,topk10_topk210,small,before_conflict,475149,4.319013614676659,3,10,0.02467436530435716,1618
25,topk10_topk210,small,after_conflict,475149,3.723922390660614,3,10,0.08993810362644139,1618
25,topk10_topk210,medium,raw,58747,50.526920523601206,38,98,0.0,1618
25,topk10_topk210,medium,expanded,58747,50.52727798866325,38,98,0.0,1618
25,topk10_topk210,medium,before_conflict,58747,9.99969360137539,10,10,0.0,1618
25,topk10_topk210,medium,after_conflict,58747,9.88921987505745,10,10,0.00018724360392871126,1618
25,topk10_topk210,large,raw,2574,326.34809634809636,265,509,0.0,1618
25,topk10_topk210,large,expanded,2574,326.34809634809636,265,509,0.0,1618
25,topk10_topk210,large,before_conflict,2574,10.0,10,10,0.0,1618
25,topk10_topk210,large,after_conflict,2574,9.95881895881896,10,10,0.0,1618
26,topk10_topk210,small,raw,476273,4.145966703970202,2,11,0.16810106808490088,1618
26,topk10_topk210,small,expanded,476273,5.880688176738971,5,11,0.0,1618
26,topk10_topk210,small,before_conflict,476273,4.36104083162388,3,10,0.02361880686077103,1618
26,topk10_topk210,small,after_conflict,476273,3.7651263036115843,3,10,0.08732596641002115,1618
26,topk10_topk210,medium,raw,59368,50.902876970758655,38,98,0.0,1618
26,topk10_topk210,medium,expanded,59368,50.903432825764725,38,98,0.0,1618
26,topk10_topk210,medium,before_conflict,59368,9.999713650451422,10,10,0.0,1618
26,topk10_topk210,medium,after_conflict,59368,9.888357364236626,10,10,0.0003705700040425819,1618
26,topk10_topk210,large,raw,2663,323.1678558017274,263,492,0.0,1618
26,topk10_topk210,large,expanded,2663,323.1678558017274,263,492,0.0,1618
26,topk10_topk210,large,before_conflict,2663,10.0,10,10,0.0,1618
26,topk10_topk210,large,after_conflict,2663,9.949680811115284,10,10,0.0011265490048817123,1618
27,topk10_topk210,small,raw,479425,4.112096782604161,2,11,0.16811180059446212,1618
27,topk10_topk210,small,expanded,479425,5.841474683214267,5,11,0.0,1618
27,topk10_topk210,small,before_conflict,479425,4.344990353027064,3,10,0.023363404077801533,1618
27,topk10_topk210,small,after_conflict,479425,3.7517192470146528,3,10,0.08707097043333159,1618
27,topk10_topk210,medium,raw,59710,50.63305978898007,38,98,0.0,1618
27,topk10_topk210,medium,expanded,59710,50.63319376988779,38,98,0.0,1618
27,topk10_topk210,medium,before_conflict,59710,9.999799028638419,10,10,0.0,1618
27,topk10_topk210,medium,after_conflict,59710,9.891006531569252,10,10,0.0002009713615809747,1618
27,topk10_topk210,large,raw,2702,318.4267209474463,263,493,0.0,1618
27,topk10_topk210,large,expanded,2702,318.4267209474463,263,493,0.0,1618
27,topk10_topk210,large,before_conflict,2702,10.0,10,10,0.0,1618
27,topk10_topk210,large,after_conflict,2702,9.963730569948186,10,10,0.0,1618
28,topk10_topk210,small,raw,485748,4.090828989517198,2,11,0.17126575920024376,1618
28,topk10_topk210,small,expanded,485748,5.845001935159795,5,11,0.0,1618
28,topk10_topk210,small,before_conflict,485748,4.340662236385945,3,10,0.023750998460106885,1618
28,topk10_topk210,small,after_conflict,485748,3.745022110229996,3,10,0.08720365292291476,1618
28,topk10_topk210,medium,raw,60441,50.68815870022005,38,98,0.0,1618
28,topk10_topk210,medium,expanded,60441,50.6883076057643,38,98,0.0,1618
28,topk10_topk210,medium,before_conflict,60441,9.999801459274334,10,10,0.0,1618
28,topk10_topk210,medium,after_conflict,60441,9.893185089591503,10,10,0.00023163084661074435,1618
28,topk10_topk210,large,raw,2734,312.07973664959763,259,475,0.0,1618
28,topk10_topk210,large,expanded,2734,312.07973664959763,259,475,0.0,1618
28,topk10_topk210,large,before_conflict,2734,10.0,10,10,0.0,1618
28,topk10_topk210,large,after_conflict,2734,9.957205559619606,10,10,0.000731528895391368,1618
29,topk10_topk210,small,raw,481430,4.113470286438319,2,11,0.17018881249610535,1618
29,topk10_topk210,small,expanded,481430,5.860170741333111,5,11,0.0,1618
29,topk10_topk210,small,before_conflict,481430,4.350829819496084,3,10,0.02446877012234385,1618
29,topk10_topk210,small,after_conflict,481430,3.757347901044804,3,10,0.08828490123174709,1618
