epoch,branch,area_bin,stage,gt_observations,mean,p50,p90,zero_fraction,batches
10,topk10_topk210,medium,after_conflict,59208,9.851016754492637,10,10,0.00027023375219564923,1618
10,topk10_topk210,large,raw,2708,317.6658050221566,261,488,0.0,1618
10,topk10_topk210,large,expanded,2708,317.6658050221566,261,488,0.0,1618
10,topk10_topk210,large,before_conflict,2708,10.0,10,10,0.0,1618
10,topk10_topk210,large,after_conflict,2708,9.948670605612998,10,10,0.0,1618
11,topk10_topk210,small,raw,475513,4.155861143649069,2,11,0.16836973962856958,1618
11,topk10_topk210,small,expanded,475513,5.88818602225386,5,11,0.0,1618
11,topk10_topk210,small,before_conflict,475513,4.190245061649208,3,10,0.027767905399011174,1618
11,topk10_topk210,small,after_conflict,475513,3.6058341202028124,3,10,0.10024331616590924,1618
11,topk10_topk210,medium,raw,59914,50.82075975564977,38,98,0.0,1618
11,topk10_topk210,medium,expanded,59914,50.82106018626698,38,98,0.0,1618
11,topk10_topk210,medium,before_conflict,59914,9.99984978469139,10,10,0.0,1618
11,topk10_topk210,medium,after_conflict,59914,9.862669826751677,10,10,0.00011683412891811597,1618
11,topk10_topk210,large,raw,2684,318.5048435171386,260,502,0.0,1618
11,topk10_topk210,large,expanded,2684,318.5048435171386,260,502,0.0,1618
11,topk10_topk210,large,before_conflict,2684,10.0,10,10,0.0,1618
11,topk10_topk210,large,after_conflict,2684,9.974292101341282,10,10,0.0,1618
12,topk10_topk210,small,raw,478822,4.12179682637807,2,11,0.17003186988066546,1618
12,topk10_topk210,small,expanded,478822,5.865762224793347,5,11,0.0,1618
12,topk10_topk210,small,before_conflict,478822,4.180376006115007,3,10,0.026652910684972705,1618
12,topk10_topk210,small,after_conflict,478822,3.6097798346776044,3,10,0.09743495495194457,1618
12,topk10_topk210,medium,raw,58742,50.629055871437814,38,98,0.0,1618
12,topk10_topk210,medium,expanded,58742,50.629055871437814,38,98,0.0,1618
12,topk10_topk210,medium,before_conflict,58742,9.999948929215893,10,10,0.0,1618
12,topk10_topk210,medium,after_conflict,58742,9.86750536243233,10,10,0.00010214156821354398,1618
12,topk10_topk210,large,raw,2647,320.90970910464677,264,495,0.0,1618
12,topk10_topk210,large,expanded,2647,320.90970910464677,264,495,0.0,1618
12,topk10_topk210,large,before_conflict,2647,10.0,10,10,0.0,1618
12,topk10_topk210,large,after_conflict,2647,9.969021533811862,10,10,0.0,1618
13,topk10_topk210,small,raw,472316,4.1672926599988145,2,11,0.16709364069817664,1618
13,topk10_topk210,small,expanded,472316,5.8838447141320644,5,11,0.0,1618
13,topk10_topk210,small,before_conflict,472316,4.221514833289577,3,10,0.02600377713225891,1618
13,topk10_topk210,small,after_conflict,472316,3.6355152059214593,3,10,0.09676360741537446,1618
13,topk10_topk210,medium,raw,60958,50.897158699432396,38,99,0.0,1618
13,topk10_topk210,medium,expanded,60958,50.897732865251484,38,99,0.0,1618
13,topk10_topk210,medium,before_conflict,60958,9.999950785786936,10,10,0.0,1618
13,topk10_topk210,medium,after_conflict,60958,9.86590767413629,10,10,0.00019685685225893237,1618
13,topk10_topk210,large,raw,2743,315.7178271965002,260,480,0.0,1618
13,topk10_topk210,large,expanded,2743,315.7178271965002,260,480,0.0,1618
13,topk10_topk210,large,before_conflict,2743,10.0,10,10,0.0,1618
13,topk10_topk210,large,after_conflict,2743,9.972293109733869,10,10,0.0,1618
14,topk10_topk210,small,raw,480779,4.071991497132778,2,11,0.17241185659107408,1618
14,topk10_topk210,small,expanded,480779,5.834913754552508,5,11,0.0,1618
14,topk10_topk210,small,before_conflict,480779,4.191553707628661,3,10,0.026259466407642595,1618
14,topk10_topk210,small,after_conflict,480779,3.6018669700631682,3,10,0.09837160108906587,1618
14,topk10_topk210,medium,raw,58392,50.46412179750651,38,98,0.0,1618
14,topk10_topk210,medium,expanded,58392,50.46525208932731,38,98,0.0,1618
14,topk10_topk210,medium,before_conflict,58392,9.999948623099055,10,10,0.0,1618
14,topk10_topk210,medium,after_conflict,58392,9.871078229894506,10,10,0.00013700506918755994,1618
14,topk10_topk210,large,raw,2491,320.3460457647531,261,493,0.0,1618
14,topk10_topk210,large,expanded,2491,320.3460457647531,261,493,0.0,1618
14,topk10_topk210,large,before_conflict,2491,10.0,10,10,0.0,1618
14,topk10_topk210,large,after_conflict,2491,9.965877157767965,10,10,0.0,1618
15,topk10_topk210,small,raw,473018,4.132548867062141,2,11,0.16876736191857392,1618
15,topk10_topk210,small,expanded,473018,5.8688971667040155,5,11,0.0,1618
15,topk10_topk210,small,before_conflict,473018,4.2764736225682745,3,10,0.02400542896887645,1618
15,topk10_topk210,small,after_conflict,473018,3.673595930810244,3,10,0.09300491736043871,1618
15,topk10_topk210,medium,raw,59413,50.95689495564944,38,99,0.0,1618
15,topk10_topk210,medium,expanded,59413,50.95718108831401,38,99,0.0,1618
15,topk10_topk210,medium,before_conflict,59413,10.0,10,10,0.0,1618
15,topk10_topk210,medium,after_conflict,59413,9.883342029522158,10,10,0.00013465066567922845,1618
15,topk10_topk210,large,raw,2659,319.53629183903723,260,500,0.0,1618
15,topk10_topk210,large,expanded,2659,319.53629183903723,260,500,0.0,1618
15,topk10_topk210,large,before_conflict,2659,10.0,10,10,0.0,1618
15,topk10_topk210,large,after_conflict,2659,9.969537420082737,10,10,0.0,1618
16,topk10_topk210,small,raw,472376,4.147448219215201,2,11,0.16748522363540908,1618
16,topk10_topk210,small,expanded,472376,5.870143699087168,5,11,0.0,1618
16,topk10_topk210,small,before_conflict,472376,4.318439124765018,3,10,0.02338391450878114,1618
16,topk10_topk210,small,after_conflict,472376,3.7093438277981945,3,10,0.08884871373651498,1618
16,topk10_topk210,medium,raw,60005,50.661611532372305,38,98,0.0,1618
16,topk10_topk210,medium,expanded,60005,50.661611532372305,38,98,0.0,1618
16,topk10_topk210,medium,before_conflict,60005,9.999950004166319,10,10,0.0,1618
16,topk10_topk210,medium,after_conflict,60005,9.875693692192318,10,10,0.0002499791684026331,1618
16,topk10_topk210,large,raw,2575,321.0869902912621,264,490,0.0,1618
16,topk10_topk210,large,expanded,2575,321.0869902912621,264,490,0.0,1618
16,topk10_topk210,large,before_conflict,2575,10.0,10,10,0.0,1618
16,topk10_topk210,large,after_conflict,2575,9.963106796116504,10,10,0.0003883495145631068,1618
17,topk10_topk210,small,raw,474338,4.136824374180437,2,11,0.17001800403931375,1618
17,topk10_topk210,small,expanded,474338,5.8797418718297925,5,11,0.0,1618
17,topk10_topk210,small,before_conflict,474338,4.33397703747117,3,10,0.02375310432645076,1618
17,topk10_topk210,small,after_conflict,474338,3.7300996335946097,3,10,0.08928021790368892,1618
17,topk10_topk210,medium,raw,58144,51.141527930654924,38,99,0.0,1618
17,topk10_topk210,medium,expanded,58144,51.14204389102917,38,99,0.0,1618
17,topk10_topk210,medium,before_conflict,58144,9.999793615850303,10,10,0.0,1618
17,topk10_topk210,medium,after_conflict,58144,9.889051320858558,10,10,0.00024078150798018713,1618
17,topk10_topk210,large,raw,2626,317.75818735719724,261,501,0.0,1618
17,topk10_topk210,large,expanded,2626,317.75818735719724,261,501,0.0,1618
17,topk10_topk210,large,before_conflict,2626,10.0,10,10,0.0,1618
17,topk10_topk210,large,after_conflict,2626,9.96001523229246,10,10,0.0007616146230007616,1618
18,topk10_topk210,small,raw,480375,4.099364038511579,2,11,0.1694592766068176,1618
18,topk10_topk210,small,expanded,480375,5.839036169659121,5,11,0.0,1618
18,topk10_topk210,small,before_conflict,480375,4.318111891751236,3,10,0.02363153786104606,1618
18,topk10_topk210,small,after_conflict,480375,3.7156117616445483,3,10,0.08911371324486078,1618
18,topk10_topk210,medium,raw,60030,50.65314009661836,38,98,0.0,1618
18,topk10_topk210,medium,expanded,60030,50.653406630018324,38,98,0.0,1618
18,topk10_topk210,medium,before_conflict,60030,9.99976678327503,10,10,0.0,1618
18,topk10_topk210,medium,after_conflict,60030,9.888072630351491,10,10,0.0003498250874562719,1618
18,topk10_topk210,large,raw,2592,313.94984567901236,259,486,0.0,1618
18,topk10_topk210,large,expanded,2592,313.94984567901236,259,486,0.0,1618
18,topk10_topk210,large,before_conflict,2592,10.0,10,10,0.0,1618
18,topk10_topk210,large,after_conflict,2592,9.959876543209877,10,10,0.00038580246913580245,1618
19,topk10_topk210,small,raw,480573,4.148141905600189,2,11,0.16603304804889163,1618
19,topk10_topk210,small,expanded,480573,5.868459110270448,5,11,0.0,1618
19,topk10_topk210,small,before_conflict,480573,4.358001802015511,3,10,0.022689580979372542,1618
19,topk10_topk210,small,after_conflict,480573,3.7484378023734166,3,10,0.08774941580155356,1618
19,topk10_topk210,medium,raw,60244,50.73360002655866,38,98,0.0,1618
19,topk10_topk210,medium,expanded,60244,50.73374941902928,38,98,0.0,1618
19,topk10_topk210,medium,before_conflict,60244,9.999784210875772,10,10,0.0,1618
19,topk10_topk210,medium,after_conflict,60244,9.889632162539009,10,10,0.00016599163402164531,1618
19,topk10_topk210,large,raw,2657,311.90666164847573,255,474,0.0,1618
19,topk10_topk210,large,expanded,2657,311.90666164847573,255,474,0.0,1618
19,topk10_topk210,large,before_conflict,2657,10.0,10,10,0.0,1618
19,topk10_topk210,large,after_conflict,2657,9.973654497553632,10,10,0.0,1618
20,topk10_topk210,small,raw,480566,4.1363746082744095,2,11,0.16740052354931476,1618
20,topk10_topk210,small,expanded,480566,5.862597437188648,5,11,0.0,1618
20,topk10_topk210,small,before_conflict,480566,4.346761943208633,3,10,0.023871851108900756,1618
20,topk10_topk210,small,after_conflict,480566,3.7479347269677836,3,10,0.08899089823250084,1618
20,topk10_topk210,medium,raw,59535,50.98071722516167,38,100,0.0,1618
20,topk10_topk210,medium,expanded,59535,50.980868396741414,38,100,0.0,1618
20,topk10_topk210,medium,before_conflict,59535,9.999916015789031,10,10,0.0,1618
20,topk10_topk210,medium,after_conflict,59535,9.897220122616949,10,10,0.0001679684219366759,1618
20,topk10_topk210,large,raw,2683,324.0074543421543,265,495,0.0,1618
20,topk10_topk210,large,expanded,2683,324.0074543421543,265,495,0.0,1618
20,topk10_topk210,large,before_conflict,2683,10.0,10,10,0.0,1618
20,topk10_topk210,large,after_conflict,2683,9.987700335445396,10,10,0.0,1618
21,topk10_topk210,small,raw,480672,4.109785883096998,2,11,0.16973112642300778,1618
21,topk10_topk210,small,expanded,480672,5.854054323946475,5,11,0.0,1618
21,topk10_topk210,small,before_conflict,480672,4.333951218294388,3,10,0.023279908128619933,1618
21,topk10_topk210,small,after_conflict,480672,3.7366083316689966,3,10,0.08891718261101125,1618
21,topk10_topk210,medium,raw,58342,50.65369716499263,38,99,0.0,1618
21,topk10_topk210,medium,expanded,58342,50.65439991772651,38,99,0.0,1618
21,topk10_topk210,medium,before_conflict,58342,9.999708614720099,10,10,0.0,1618
21,topk10_topk210,medium,after_conflict,58342,9.887165335435878,10,10,0.0001885434164067053,1618
21,topk10_topk210,large,raw,2701,326.70529433543135,264,503,0.0,1618
21,topk10_topk210,large,expanded,2701,326.70529433543135,264,503,0.0,1618
21,topk10_topk210,large,before_conflict,2701,10.0,10,10,0.0,1618
21,topk10_topk210,large,after_conflict,2701,9.959644576082932,10,10,0.0,1618
22,topk10_topk210,small,raw,484488,4.08343653506382,2,11,0.16963474843546178,1618
22,topk10_topk210,small,expanded,484488,5.831139264543188,5,11,0.0,1618
22,topk10_topk210,small,before_conflict,484488,4.325993626261125,3,10,0.023703373458166147,1618
22,topk10_topk210,small,after_conflict,484488,3.7267775466059017,3,10,0.08902387675236538,1618
22,topk10_topk210,medium,raw,59280,50.573515519568154,38,98,0.0,1618
22,topk10_topk210,medium,expanded,59280,50.573515519568154,38,98,0.0,1618
22,topk10_topk210,medium,before_conflict,59280,9.999628879892038,10,10,0.0,1618
22,topk10_topk210,medium,after_conflict,59280,9.895816464237518,10,10,0.0002699055330634278,1618
22,topk10_topk210,large,raw,2671,317.1733433171097,264,487,0.0,1618
22,topk10_topk210,large,expanded,2671,317.1733433171097,264,487,0.0,1618
22,topk10_topk210,large,before_conflict,2671,10.0,10,10,0.0,1618
22,topk10_topk210,large,after_conflict,2671,9.964807188318982,10,10,0.0,1618
23,topk10_topk210,small,raw,478670,4.110535441953747,2,11,0.17104685900516012,1618
23,topk10_topk210,small,expanded,478670,5.85391814820231,5,11,0.0,1618
23,topk10_topk210,small,before_conflict,478670,4.338044999686632,3,10,0.023889109407316107,1618
23,topk10_topk210,small,after_conflict,478670,3.7404474899199864,3,10,0.08857877034282491,1618
23,topk10_topk210,medium,raw,59393,50.4297644503561,38,98,0.0,1618
23,topk10_topk210,medium,expanded,59393,50.43005067937299,38,98,0.0,1618
23,topk10_topk210,medium,before_conflict,59393,9.999814792989072,10,10,0.0,1618
23,topk10_topk210,medium,after_conflict,59393,9.8938932197397,10,10,0.0002020440119205967,1618
23,topk10_topk210,large,raw,2692,324.22288261515604,264,504,0.0,1618
23,topk10_topk210,large,expanded,2692,324.22288261515604,264,504,0.0,1618
23,topk10_topk210,large,before_conflict,2692,10.0,10,10,0.0,1618
23,topk10_topk210,large,after_conflict,2692,9.960624071322437,10,10,0.0,1618
24,topk10_topk210,small,raw,471509,4.156622673162124,2,11,0.16674549160249327,1618
24,topk10_topk210,small,expanded,471509,5.881306613447463,5,11,0.0,1618
24,topk10_topk210,small,before_conflict,471509,4.373939839960637,3,10,0.022336795267958832,1618
24,topk10_topk210,small,after_conflict,471509,3.774937487937664,3,10,0.08602592951566142,1618
24,topk10_topk210,medium,raw,59185,50.75372138210695,38,98,0.0,1618
24,topk10_topk210,medium,expanded,59185,50.75372138210695,38,98,0.0,1618
24,topk10_topk210,medium,before_conflict,59185,9.999932415307933,10,10,0.0,1618
24,topk10_topk210,medium,after_conflict,59185,9.897524710653038,10,10,0.00015206555715130524,1618
24,topk10_topk210,large,raw,2721,317.7398015435502,260,497,0.0,1618
24,topk10_topk210,large,expanded,2721,317.7398015435502,260,497,0.0,1618
24,topk10_topk210,large,before_conflict,2721,10.0,10,10,0.0,1618
24,topk10_topk210,large,after_conflict,2721,9.960676221977215,10,10,0.0,1618
25,topk10_topk210,small,raw,473099,4.1515327658693,2,11,0.16659937983381914,1618
25,topk10_topk210,small,expanded,473099,5.875229074675702,5,11,0.0,1618
25,topk10_topk210,small,before_conflict,473099,4.3686395447887225,3,10,0.02295291260391588,1618
25,topk10_topk210,small,after_conflict,473099,3.7745714956066276,3,10,0.08601793704911657,1618
25,topk10_topk210,medium,raw,59793,50.920408743498406,38,98,0.0,1618
25,topk10_topk210,medium,expanded,59793,50.92057598715569,38,98,0.0,1618
25,topk10_topk210,medium,before_conflict,59793,9.99989965380563,10,10,0.0,1618
25,topk10_topk210,medium,after_conflict,59793,9.894084591841855,10,10,0.0003010385831117355,1618
25,topk10_topk210,large,raw,2684,311.32302533532044,260,470,0.0,1618
25,topk10_topk210,large,expanded,2684,311.32302533532044,260,470,0.0,1618
25,topk10_topk210,large,before_conflict,2684,10.0,10,10,0.0,1618
25,topk10_topk210,large,after_conflict,2684,9.966467958271236,10,10,0.0,1618
26,topk10_topk210,small,raw,480292,4.152088729356309,2,11,0.16662571935405962,1618
26,topk10_topk210,small,expanded,480292,5.86905465841613,5,11,0.0,1618
26,topk10_topk210,small,before_conflict,480292,4.366787287733295,3,10,0.022673706828346088,1618
26,topk10_topk210,small,after_conflict,480292,3.7733857736543603,3,10,0.08587067867047546,1618
26,topk10_topk210,medium,raw,59310,50.78877086494689,38,98,0.0,1618
26,topk10_topk210,medium,expanded,59310,50.78925982127803,38,98,0.0,1618
26,topk10_topk210,medium,before_conflict,59310,9.999814533805429,10,10,0.0,1618
26,topk10_topk210,medium,after_conflict,59310,9.89951104366886,10,10,0.00018546619457089866,1618
26,topk10_topk210,large,raw,2680,321.5567164179104,264,502,0.0,1618
26,topk10_topk210,large,expanded,2680,321.5567164179104,264,502,0.0,1618
26,topk10_topk210,large,before_conflict,2680,10.0,10,10,0.0,1618
26,topk10_topk210,large,after_conflict,2680,9.951492537313433,10,10,0.00037313432835820896,1618
27,topk10_topk210,small,raw,478112,4.095672143765477,2,11,0.17042031992503848,1618
27,topk10_topk210,small,expanded,478112,5.851248243089485,5,11,0.0,1618
27,topk10_topk210,small,before_conflict,478112,4.333177163509805,3,10,0.023578157419182115,1618
27,topk10_topk210,small,after_conflict,478112,3.736622381366709,3,10,0.08789572317783281,1618
27,topk10_topk210,medium,raw,59577,50.78234889302919,38,99,0.0,1618
27,topk10_topk210,medium,expanded,59577,50.783020293066116,38,99,0.0,1618
27,topk10_topk210,medium,before_conflict,59577,9.999697869983383,10,10,0.0,1618
27,topk10_topk210,medium,after_conflict,59577,9.902848414656663,10,10,0.00015106500830857546,1618
27,topk10_topk210,large,raw,2766,318.53940708604483,260,502,0.0,1618
27,topk10_topk210,large,expanded,2766,318.53940708604483,260,502,0.0,1618
27,topk10_topk210,large,before_conflict,2766,10.0,10,10,0.0,1618
27,topk10_topk210,large,after_conflict,2766,9.959869848156183,10,10,0.0,1618
28,topk10_topk210,small,raw,474335,4.144279886578051,2,11,0.16698746666385572,1618
28,topk10_topk210,small,expanded,474335,5.86847270389071,5,11,0.0,1618
28,topk10_topk210,small,before_conflict,474335,4.364194082241454,3,10,0.022271179651512117,1618
28,topk10_topk210,small,after_conflict,474335,3.7703268786827873,3,10,0.08683525356551804,1618
28,topk10_topk210,medium,raw,59870,50.71964255887757,38,99,0.0,1618
28,topk10_topk210,medium,expanded,59870,50.72011023885084,38,99,0.0,1618
28,topk10_topk210,medium,before_conflict,59870,9.999599131451479,10,10,0.0,1618
28,topk10_topk210,medium,after_conflict,59870,9.901236011357943,10,10,0.00025054284282612327,1618
28,topk10_topk210,large,raw,2682,320.9660700969426,264,490,0.0,1618
28,topk10_topk210,large,expanded,2682,320.9660700969426,264,490,0.0,1618
28,topk10_topk210,large,before_conflict,2682,10.0,10,10,0.0,1618
28,topk10_topk210,large,after_conflict,2682,9.975391498881432,10,10,0.0,1618
29,topk10_topk210,small,raw,472075,4.16069056823598,2,11,0.1678695122597045,1618
29,topk10_topk210,small,expanded,472075,5.891688820632314,5,11,0.0,1618
29,topk10_topk210,small,before_conflict,472075,4.374065561616269,3,10,0.022280357993962822,1618
29,topk10_topk210,small,after_conflict,472075,3.78237780013769,3,10,0.08573214002012391,1618
