phase,assigner_call,sample_index,gt_index,area_px,area_bin,positive_count
train,1,0,85,112.60074615478516,small,3
train,1,0,86,95.89032745361328,small,0
train,1,0,87,143.8310089111328,small,1
train,1,0,88,151.81939697265625,small,0
train,1,0,89,183.78509521484375,small,0
train,1,0,90,61.38517761230469,small,3
train,1,0,91,184.14979553222656,small,3
train,1,0,92,155.8187713623047,small,5
train,1,0,93,127.84934997558594,small,0
train,1,0,94,98.07118225097656,small,0
train,1,0,95,101.7001724243164,small,0
train,1,0,96,98.07085418701172,small,0
train,1,0,97,29.05596160888672,small,0
train,1,0,98,152.5548553466797,small,3
train,1,0,99,26.151756286621094,small,1
train,1,0,100,33.05488204956055,small,0
train,1,0,101,51.938472747802734,small,5
train,1,1,0,1913.5953369140625,medium,10
train,1,1,1,1824.6766357421875,medium,10
train,1,1,2,11890.3681640625,large,10
train,1,1,3,414.384033203125,small,7
train,1,1,4,354.39630126953125,small,10
train,1,1,5,1345.4967041015625,medium,10
train,1,1,6,89.12046813964844,small,1
train,1,1,7,299.0101013183594,small,6
train,1,1,8,240.3559112548828,small,3
train,1,1,9,138.00306701660156,small,2
train,1,1,10,355.7414245605469,small,6
train,1,1,11,373.18798828125,small,7
train,1,1,12,989.385498046875,small,10
train,1,1,13,189.55599975585938,small,2
train,1,1,14,104.65290069580078,small,0
train,1,1,15,269.1085205078125,small,6
train,1,1,16,211.60243225097656,small,2
train,1,1,17,236.12759399414062,small,4
train,1,1,18,263.54510498046875,small,2
train,1,1,19,279.059326171875,small,6
train,1,1,20,189.745849609375,small,4
train,1,1,21,133.40061950683594,small,3
train,1,1,22,134.16949462890625,small,2
train,1,1,23,111.17103576660156,small,2
train,1,1,24,118.07320404052734,small,2
train,1,1,25,124.77383422851562,small,1
train,1,1,26,143.36094665527344,small,1
train,1,1,27,132.82603454589844,small,1
train,1,1,28,158.69798278808594,small,3
train,1,1,29,136.8442840576172,small,1
train,1,1,30,162.9127197265625,small,3
train,1,1,31,170.20071411132812,small,3
train,1,1,32,141.067626953125,small,4
train,1,1,33,156.97592163085938,small,1
train,1,1,34,186.87799072265625,small,4
train,1,1,35,180.7382049560547,small,1
train,1,1,36,201.8311004638672,small,3
train,1,1,37,174.8020477294922,small,2
train,1,1,38,176.32862854003906,small,3
train,1,1,39,210.83416748046875,small,3
train,1,1,40,269.8728942871094,small,6
train,1,1,41,206.99575805664062,small,3
train,1,1,42,270.2497253417969,small,4
train,1,1,43,236.13656616210938,small,1
train,1,1,44,199.32908630371094,small,2
train,1,1,45,243.22396850585938,small,4
train,1,1,46,183.99574279785156,small,2
train,1,1,47,268.33721923828125,small,4
train,1,1,48,1096.324462890625,medium,10
train,1,1,49,312.7965087890625,small,5
train,1,1,50,285.2037353515625,small,4
train,1,1,51,364.93231201171875,small,6
train,1,1,52,460.0005798339844,small,6
train,1,1,53,318.9336853027344,small,3
train,1,1,54,2649.615966796875,medium,10
train,1,1,55,274.08355712890625,small,5
train,1,1,56,560.6273803710938,small,10
train,1,1,57,324.29388427734375,small,4
train,1,1,58,2629.687255859375,medium,10
train,1,1,59,711.0767211914062,small,9
train,1,1,60,455.97491455078125,small,9
train,1,1,61,603.7498779296875,small,9
train,1,1,62,3198.53466796875,medium,10
train,1,1,63,967.144287109375,small,10
train,1,1,64,776.2545166015625,small,9
train,1,1,65,599.5457763671875,small,5
train,1,1,66,1264.236572265625,medium,10
train,1,1,67,1368.50634765625,medium,10
train,1,1,68,1016.04052734375,small,9
train,1,1,69,1990.2412109375,medium,9
train,1,1,70,1345.493896484375,medium,10
train,1,1,71,2101.062744140625,medium,9
train,1,1,72,1469.70849609375,medium,10
train,1,1,73,1578.5811767578125,medium,9
train,1,1,74,2335.06396484375,medium,8
train,1,1,75,2835.900390625,medium,10
train,1,1,76,2529.043212890625,medium,10
train,1,1,77,2962.405517578125,medium,10
train,1,1,78,18309.974609375,large,10
train,1,1,79,3520.263671875,medium,10
train,1,1,80,271.40313720703125,small,6
train,1,1,81,200.2965850830078,small,1
train,1,1,82,217.34124755859375,small,1
train,1,1,83,418.4038391113281,small,7
train,1,1,84,233.44085693359375,small,1
train,1,1,85,315.6862487792969,small,5
train,1,1,86,301.87786865234375,small,5
train,1,1,87,287.498291015625,small,2
train,1,1,88,568.8790893554688,small,10
train,1,1,89,219.2618865966797,small,1
train,1,1,90,276.5787048339844,small,5
train,1,1,91,171.7310028076172,small,2
train,1,1,92,226.93727111816406,small,4
train,1,1,93,1073.3309326171875,medium,10
train,1,1,94,144.5211944580078,small,4
train,1,1,95,160.22872924804688,small,1
train,1,1,96,184.19479370117188,small,5
train,1,1,97,149.87973022460938,small,1
train,1,1,98,674.6768188476562,small,10
train,1,1,99,573.6609497070312,small,9
train,1,2,0,546.8359375,small,9
train,1,2,1,847.6277465820312,small,10
train,1,2,2,1438.6595458984375,medium,10
train,1,2,3,1430.2041015625,medium,10
train,1,2,4,236.6182403564453,small,6
train,1,2,5,2863.124267578125,medium,10
train,1,2,6,1661.5675048828125,medium,10
train,1,2,7,441.691650390625,small,8
train,1,2,8,1211.4715576171875,medium,9
train,1,2,9,694.0999145507812,small,10
train,1,2,10,588.9134521484375,small,10
train,1,2,11,774.0068969726562,small,10
train,1,2,12,975.3980712890625,small,10
train,1,2,13,287.0997009277344,small,3
train,1,2,14,299.70806884765625,small,8
train,1,2,15,370.1701354980469,small,8
train,1,2,16,588.9122924804688,small,10
train,1,2,17,1862.449462890625,medium,10
train,1,2,18,241.8829803466797,small,3
train,1,2,19,104.10877227783203,small,4
train,1,2,20,94.64588928222656,small,1
train,1,2,21,134.08876037597656,small,2
train,1,2,22,117.78545379638672,small,2
train,1,2,23,75.18838500976562,small,2
train,1,2,24,80.97177124023438,small,5
train,1,2,25,94.6508560180664,small,4
train,1,2,26,94.64509582519531,small,1
train,1,2,27,88.33218383789062,small,1
train,1,2,28,94.64642333984375,small,2
train,1,2,29,206.12020874023438,small,4
train,1,2,30,132.50160217285156,small,3
train,1,2,31,67.30329895019531,small,2
train,1,2,32,75.18838500976562,small,3
train,1,2,33,44.171363830566406,small,0
train,1,2,34,99.38775634765625,small,3
train,1,2,35,115.68309783935547,small,4
train,1,2,36,99.90913391113281,small,5
train,1,2,37,47.84809494018555,small,0
train,1,2,38,109.37094116210938,small,2
train,1,2,39,108.85172271728516,small,4
train,1,2,40,41.0156135559082,small,0
train,1,2,41,63.09770584106445,small,4
train,1,2,42,160.90235900878906,small,5
train,1,2,43,100.95491027832031,small,2
train,1,2,44,84.13429260253906,small,4
train,1,2,45,92.54413604736328,small,3
train,1,2,46,73.61418914794922,small,2
train,1,2,47,107.26371002197266,small,2
train,1,2,48,75.72417449951172,small,5
train,1,2,49,55.212242126464844,small,0
train,1,2,50,70.99163055419922,small,3
train,1,2,51,78.87644958496094,small,3
train,1,2,52,134.61741638183594,small,2
train,1,2,53,88.33103942871094,small,1
train,1,2,54,84.13429260253906,small,3
train,1,2,55,134.61741638183594,small,2
train,1,2,56,80.97225952148438,small,2
train,1,2,57,88.33094787597656,small,1
train,1,2,58,116.21284484863281,small,2
train,1,2,59,73.61480712890625,small,2
train,1,2,60,63.09703826904297,small,4
train,1,2,61,66.2554931640625,small,3
train,1,2,62,56.790199279785156,small,3
train,1,2,63,75.7232666015625,small,4
train,1,2,64,51.528812408447266,small,3
train,1,2,65,41.0157470703125,small,0
train,1,2,66,36.806251525878906,small,0
train,1,2,67,56.790199279785156,small,1
